epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,7630.8,1.26093,0.72858,0.01224,0.86621,0.8326,0.88832,0.5479,1.38082,0.60297,0.01533,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7736.55,1.2636,0.73371,0.01227,0.85687,0.84777,0.89371,0.55094,1.37942,0.59234,0.01529,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7840.86,1.2548,0.72217,0.01221,0.84928,0.85118,0.89503,0.55254,1.37188,0.6006,0.01521,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7945.71,1.24641,0.72491,0.01202,0.86249,0.83303,0.89252,0.55395,1.36981,0.60271,0.01517,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8051.51,1.23789,0.71175,0.01191,0.86743,0.83506,0.89415,0.55598,1.37071,0.59934,0.01516,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8156.86,1.24307,0.72825,0.01189,0.8815,0.82978,0.89396,0.55792,1.36822,0.59778,0.01514,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8262.28,1.22601,0.69687,0.0118,0.87813,0.82899,0.89564,0.56212,1.36735,0.59234,0.01514,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8367.45,1.22162,0.6953,0.01174,0.87736,0.82809,0.89648,0.56148,1.36542,0.59311,0.01508,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8473.41,1.22404,0.69859,0.01175,0.87791,0.83155,0.90037,0.56343,1.36448,0.59194,0.01505,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8578.88,1.21085,0.69527,0.01174,0.86617,0.83212,0.89786,0.56172,1.36191,0.59169,0.01504,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,8683.22,1.21002,0.68662,0.01148,0.87012,0.82897,0.89541,0.56098,1.35904,0.59779,0.01499,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8786.33,1.19843,0.67789,0.01149,0.87016,0.828,0.89383,0.56126,1.35452,0.60227,0.01494,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8889.66,1.20104,0.68889,0.01136,0.85626,0.85027,0.89451,0.56182,1.35587,0.5987,0.01495,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8992.99,1.1892,0.6717,0.01126,0.86139,0.8469,0.89431,0.56322,1.35513,0.59847,0.01494,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,9095.69,1.17274,0.66779,0.01125,0.8672,0.84369,0.89445,0.56172,1.35475,0.59787,0.01495,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,9196.91,1.18314,0.66786,0.0111,0.86886,0.83985,0.89727,0.56249,1.35375,0.5934,0.0149,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,9298.37,1.17382,0.66104,0.01101,0.87102,0.83907,0.89926,0.56388,1.35355,0.58838,0.0149,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
